+-----------------+-----------------+-----------------+
|       Word      |    TrueLabel    |     MyLabel     |
|        it       |     hobbies     |     mystery     |
|       the       |     hobbies     |  belles_lettres |
|       with      |       news      |     fiction     |
|       and       |       lore      |  belles_lettres |
|        ?        |     mystery     |     mystery     |
|     certain     |  belles_lettres |     learned     |
|     announce    |  belles_lettres |       news      |
|        to       |     learned     |  belles_lettres |
|      worry      |     hobbies     |     romance     |
|        in       |     hobbies     |     learned     |
|        ,        |    adventure    |     romance     |
|        --       |     mystery     |     mystery     |
|      drill      |     hobbies     |     hobbies     |
|        of       |  belles_lettres |     learned     |
|        to       |     learned     |  belles_lettres |
|       with      |     romance     |     fiction     |
|        of       |    government   |     learned     |
|        ,        |  belles_lettres |     romance     |
|        a        |       news      |       lore      |
|        !        |    adventure    |     romance     |
|     machines    |    government   |    government   |
|        a        |     hobbies     |       lore      |
|       vain      |     fiction     |       lore      |
|       your      |    adventure    |     hobbies     |
|     vehicle     |     learned     |    government   |
|       just      |     hobbies     |     romance     |
|        ''       |    editorial    |     romance     |
|       bert      |       news      |     reviews     |
|      friend     |  belles_lettres |  belles_lettres |
|       was       |    adventure    |     fiction     |
|        me       |     hobbies     |    adventure    |
|       and       |       lore      |  belles_lettres |
|       the       |  belles_lettres |  belles_lettres |
|       and       |    adventure    |  belles_lettres |
|     provide     |     hobbies     |    government   |
|       1954      |     learned     |    government   |
|        a        |      humor      |       lore      |
|    residence    |       lore      |    government   |
|        at       |     fiction     |       news      |
|      short      |       lore      |     learned     |
|    reduction    |     learned     |    government   |
|        in       |      humor      |     learned     |
|        ,        | science_fiction |     romance     |
|     actually    |     hobbies     |     learned     |
|        (        |     religion    |     learned     |
|      where      |     fiction     |     fiction     |
|        .        |    editorial    |    adventure    |
|        ,        |     learned     |     romance     |
|        .        |    editorial    |    adventure    |
|       40%       |       news      |    government   |
|       must      |     romance     |  belles_lettres |
|       the       |    adventure    |  belles_lettres |
|        in       |  belles_lettres |     learned     |
|       odd       |    adventure    |     learned     |
|     believe     |     mystery     |  belles_lettres |
|     private     |  belles_lettres |    government   |
|      which      |     learned     |  belles_lettres |
|       our       |  belles_lettres |    government   |
|       hear      |     mystery     |    adventure    |
|      taken      |       lore      |       news      |
|      arthur     |       lore      |  belles_lettres |
|       the       |     mystery     |  belles_lettres |
|       less      |     learned     |     learned     |
|       and       |  belles_lettres |  belles_lettres |
|       made      |     mystery     |    government   |
|      worked     |    editorial    |     fiction     |
|     reacted     |     learned     |     learned     |
|     spencer     |     romance     |    government   |
|       own       |     reviews     |  belles_lettres |
|        ``       |    editorial    |     romance     |
|     edition     |  belles_lettres |     learned     |
|      report     |  belles_lettres |    government   |
|      going      |     mystery     |     romance     |
|      plant      |    government   |    government   |
|        in       |       news      |     learned     |
|        at       |  belles_lettres |       news      |
|        a        |     fiction     |       lore      |
|        ,        |    government   |     romance     |
|    certainly    |       lore      |     learned     |
|       that      |     learned     |  belles_lettres |
|      trade      |       lore      |       lore      |
|      which      |    government   |  belles_lettres |
|   conversation  |  belles_lettres |     learned     |
|        in       |  belles_lettres |     learned     |
|        is       |  belles_lettres |     learned     |
|       the       |     reviews     |  belles_lettres |
|        .        |    government   |    adventure    |
|      above      |    government   |     learned     |
|       the       |  belles_lettres |  belles_lettres |
|        .        |     learned     |    adventure    |
|        to       |     learned     |  belles_lettres |
|      nights     |    adventure    |     reviews     |
|     narrator    |  belles_lettres |  belles_lettres |
|        .        |    government   |    adventure    |
|      steady     |     mystery     |     mystery     |
|        do       | science_fiction |     mystery     |
|      story      |    editorial    |  belles_lettres |
|        a        |       news      |       lore      |
|        ?        |       lore      |     mystery     |
|       were      |     fiction     |     fiction     |
|        in       |     religion    |     learned     |
|       fit       |    government   |     hobbies     |
|       and       |     learned     |  belles_lettres |
|        we       |  belles_lettres |     religion    |
|       cold      |     learned     |     romance     |
|       was       |     learned     |     fiction     |
|     pedantic    |       lore      |     learned     |
|       then      |     fiction     |     fiction     |
|     elected     |    government   |     learned     |
|    providing    |    editorial    |    government   |
|     examine     |    government   |     learned     |
|       had       |       news      |     fiction     |
|       that      |     learned     |  belles_lettres |
|        of       |       lore      |     learned     |
|      still      |    editorial    |     hobbies     |
|      would      |    editorial    |     fiction     |
|      called     |     romance     |       lore      |
|       the       |     romance     |  belles_lettres |
|        if       |       news      |     learned     |
|       has       |       news      |     reviews     |
|       help      |  belles_lettres |    adventure    |
|      who's      |     learned     |     mystery     |
|     capable     |  belles_lettres |     learned     |
|        to       |       news      |  belles_lettres |
|       and       |     reviews     |  belles_lettres |
|       been      |  belles_lettres |     learned     |
|    considers    |    editorial    |     learned     |
|        ''       |     fiction     |     romance     |
|       then      |    editorial    |     fiction     |
|      tapped     |       news      |     hobbies     |
|    discipline   |     romance     |     learned     |
|     produced    |  belles_lettres |    government   |
|       they      |  belles_lettres |  belles_lettres |
|      light      |       lore      |     mystery     |
|        a        |    adventure    |       lore      |
|        ,        |       news      |     romance     |
|    resembles    |  belles_lettres |     learned     |
|      never      |    adventure    |  belles_lettres |
|       was       |  belles_lettres |     fiction     |
|       and       |       news      |  belles_lettres |
|      river      |     fiction     |       lore      |
|       them      |     mystery     |     fiction     |
|      eagles     |       news      |       news      |
|    consisted    |     reviews     |     learned     |
| characteristics |       lore      |     learned     |
|       new       |     hobbies     |     religion    |
|        ;        |       news      |     religion    |
|        .        |     learned     |    adventure    |
|      caught     |     romance     |    adventure    |
|       was       |  belles_lettres |     fiction     |
|        he       |  belles_lettres |     fiction     |
|       mrs.      |       news      |       news      |
|      totals     |    government   |     learned     |
|        ?        |  belles_lettres |     mystery     |
|        to       |  belles_lettres |  belles_lettres |
|        ,        |     learned     |     romance     |
|        a        |    government   |       lore      |
|      alone      |     hobbies     |     learned     |
|        by       |       lore      |     learned     |
|       clay      |     hobbies     |     hobbies     |
|        is       |     learned     |     learned     |
|        at       |  belles_lettres |       news      |
|      first      |  belles_lettres |     learned     |
|        ,        |       news      |     romance     |
|       and       |     learned     |  belles_lettres |
|        a        |     romance     |       lore      |
|      become     |       news      |  belles_lettres |
|       joys      |     hobbies     |     fiction     |
|       name      |     fiction     |       lore      |
|       and       |       news      |  belles_lettres |
|    beauclerk    |     mystery     |     mystery     |
|       his       |       news      |    adventure    |
|       than      |     fiction     |  belles_lettres |
|     referral    |     learned     |     learned     |
|       the       |     learned     |  belles_lettres |
|       the       |     fiction     |  belles_lettres |
|       with      |     learned     |     fiction     |
|      voice      |  belles_lettres |     learned     |
|      waited     |     fiction     |     mystery     |
|       take      |     mystery     |     romance     |
|        be       |     religion    |     learned     |
|     industry    |    government   |     learned     |
|      joint      |       news      |    editorial    |
|      these      |     religion    |     learned     |
|       she       |     mystery     |     romance     |
|       all       |     fiction     |     romance     |
|     rendered    |     learned     |    government   |
|        ,        |     hobbies     |     romance     |
|   conventional  |     hobbies     |     learned     |
|       shan      |     religion    |     religion    |
|       law       |    editorial    |       news      |
|    engraving    |     hobbies     |     hobbies     |
|        to       |     fiction     |  belles_lettres |
|    musicians    |     hobbies     |     reviews     |
|       sea       |       lore      |       lore      |
|       for       |       lore      |    government   |
|        ,        |       lore      |     romance     |
|       mock      |     fiction     |    adventure    |
|        a        |     romance     |       lore      |
|        ''       |    adventure    |     romance     |
|     weights     |     learned     |     learned     |
|       the       |     learned     |  belles_lettres |
|    tonalities   |     learned     |     learned     |
|        ?        |  belles_lettres |     mystery     |
|        of       |     learned     |     learned     |
|    employees    |  belles_lettres |    government   |
|      takes      |    editorial    |     hobbies     |
|        ''       |     romance     |     romance     |
|       and       |    government   |  belles_lettres |
|        a        |     mystery     |       lore      |
|      house      |       lore      |     fiction     |
|        ''       |     romance     |     romance     |
|    indicator    |     learned     |     learned     |
|        of       |  belles_lettres |     learned     |
|      parker     |     romance     |       news      |
|       pork      |     learned     |       lore      |
|       but       |       lore      |     romance     |
|     account     |       news      |    government   |
|     physical    |  belles_lettres |     learned     |
|        .        |       news      |    adventure    |
|    continued    |     learned     |     learned     |
|        of       |    editorial    |     learned     |
|     through     |     religion    |     learned     |
|  communication  |    editorial    |     learned     |
|      board      |    adventure    |       news      |
|      hebrew     |  belles_lettres | science_fiction |
|       thus      |    government   |     learned     |
|       she       |     romance     |     romance     |
|       all       |    adventure    |     romance     |
|     mission     |  belles_lettres |       lore      |
|      russia     |     learned     |       news      |
|        to       |     learned     |  belles_lettres |
|        on       |       news      |     learned     |
|     feelings    |       lore      |     learned     |
|        of       |  belles_lettres |     learned     |
|     himself     |       lore      |  belles_lettres |
+-----------------+-----------------+-----------------+
